Kilométrage,Année,Boite de vitesses,Carburant,Puissance fiscale,Nombre de portes,Première main,Véhicule dédouané,Importé neuf,Marque et Modèle,Prix
109000,2021,1,0,6,5,1,2021,0,248083.33333333334,229000.0
109000,2021,1,0,6,5,1,2021,0,248083.33333333334,229000.0
99000,2021,1,0,9,5,1,2021,0,183562.4375,242000.0
8600,2023,1,1,7,3,1,2019,0,291659.6769823789,150000.0
79000,2018,1,0,8,5,0,2018,0,291659.6769823789,325000.0
64000,2021,1,2,10,5,1,2021,0,125492.06349206349,205000.0
149000,2017,1,0,8,5,0,2017,0,298229.85135135136,299000.0
109000,2022,1,2,10,5,0,2022,0,125492.06349206349,199000.0
119000,2020,1,0,6,5,0,2020,0,128591.30434782608,179000.0
119000,2021,1,0,8,5,0,2021,0,252716.53543307088,305000.0
54000,2020,1,0,8,5,0,2020,0,175017.22413793104,255000.0
159000,2019,1,0,8,5,0,2019,0,570307.6923076923,340000.0
159000,2019,1,0,8,5,0,2019,0,570307.6923076923,340000.0
79000,2012,0,1,6,5,1,2019,0,81698.86363636363,63000.0
79000,2012,0,1,6,5,1,2019,0,81698.86363636363,63000.0
69000,2018,1,2,11,5,1,2018,0,311222.22222222225,345000.0
249000,2017,0,0,6,5,1,2017,0,152780.64516129033,109000.0
69000,2019,1,0,8,5,0,2019,0,311222.22222222225,335000.0
125000,2019,1,0,9,5,0,2019,0,279225.77419354836,375000.0
84000,2018,1,0,8,5,1,2018,0,202339.2857142857,180000.0
54000,2020,1,0,6,5,0,2020,0,291659.6769823789,165000.0
69000,2023,0,0,6,5,0,2023,0,158414.2857142857,168000.0
69000,2023,0,0,6,5,0,2023,0,158414.2857142857,168000.0
64000,2021,1,0,6,5,1,2021,0,252716.53543307088,326000.0
64000,2021,1,0,6,5,1,2021,0,252716.53543307088,326000.0
189000,2013,0,0,6,5,0,2013,0,135666.66666666666,89000.0
189000,2013,0,0,6,5,0,2013,0,135666.66666666666,89000.0
169000,2017,1,0,8,5,0,2017,0,369850.0,285000.0
169000,2017,1,0,8,5,0,2017,0,369850.0,285000.0
109000,2019,1,0,8,5,1,2019,0,252716.53543307088,219000.0
109000,2019,1,0,8,5,1,2019,0,252716.53543307088,219000.0
109000,2019,0,0,7,5,0,2019,0,175017.22413793104,155000.0
109000,2019,0,0,7,5,0,2019,0,175017.22413793104,155000.0
54000,2022,1,0,7,5,1,2022,0,114068.83116883117,177000.0
109000,2021,0,0,6,5,1,2021,0,114831.21621621621,143000.0
109000,2021,0,0,6,5,1,2021,0,291659.6769823789,136000.0
109000,2021,0,0,6,5,1,2021,0,291659.6769823789,136000.0
149000,2019,1,0,8,5,0,2019,0,570307.6923076923,385000.0
149000,2019,1,0,8,5,0,2019,0,570307.6923076923,385000.0
39000,2021,1,0,6,5,0,2021,0,288087.7192982456,279000.0
39000,2021,1,0,6,5,0,2021,0,288087.7192982456,279000.0
99000,2022,0,0,6,5,1,2022,0,144526.7767857143,158000.0
139000,2019,1,0,6,5,1,2019,0,300736.84210526315,268000.0
99000,2022,1,0,8,5,1,2022,0,252716.53543307088,268000.0
84000,2022,1,0,6,5,1,2022,0,197754.83870967742,208000.0
139000,2017,1,0,8,5,0,2017,0,328673.9130434783,278000.0
79000,2021,1,0,6,5,1,2021,0,206752.688172043,277000.0
79000,2021,1,0,6,5,1,2021,0,206752.688172043,277000.0
109000,2018,0,0,6,5,0,2018,0,252716.53543307088,195000.0
109000,2018,0,0,6,5,0,2018,0,252716.53543307088,195000.0
59000,2022,1,0,8,5,1,2022,0,222478.26086956522,280000.0
59000,2022,1,0,8,5,1,2022,0,222478.26086956522,280000.0
39000,2021,1,0,6,5,1,2021,0,291659.6769823789,302000.0
39000,2021,1,0,6,5,1,2021,0,291659.6769823789,302000.0
34000,2023,0,1,6,5,1,2023,0,114831.21621621621,112000.0
29000,2023,1,0,8,5,1,2023,0,300736.84210526315,305000.0
29000,2023,1,0,8,5,1,2023,0,300736.84210526315,310000.0
119000,2021,1,0,8,5,1,2021,0,127479.98,263000.0
78000,2014,1,0,8,4,1,2019,0,205000.0,205000.0
14000,2024,1,2,8,5,1,2024,0,202512.12121212122,235000.0
14000,2024,1,2,8,5,1,2024,0,202512.12121212122,235000.0
169000,2019,1,0,8,5,0,2019,0,288000.0,285000.0
169000,2019,1,0,8,5,0,2019,0,288000.0,285000.0
